Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
29,29,2019-12-23,@,PHO,W,113,111,113.3,111.3,99.7,.192,.359,.668,50.6,72.1,10.0,2.0,,.647,19.9,17.1,.154,,.557,15.2,78.6,.161
30,30,2019-12-25,,NOP,L,100,112,104.7,117.2,95.5,.196,.402,.500,43.5,64.9,10.5,8.5,,.467,10.7,25.5,.152,,.556,15.9,65.9,.133
31,31,2019-12-28,,MEM,W,119,110,118.0,109.1,100.8,.290,.312,.567,48.9,62.2,8.9,7.4,,.532,8.7,22.7,.215,,.542,15.2,75.0,.226
32,32,2019-12-29,,SAC,W,120,115,128.4,123.1,93.5,.383,.358,.634,51.4,54.8,6.4,7.8,,.568,11.3,27.8,.346,,.606,11.5,75.0,.141
33,33,2019-12-31,@,HOU,L,104,130,104.9,131.1,99.1,.093,.258,.515,47.6,55.6,7.1,9.4,,.505,13.7,31.8,.062,,.621,13.0,65.8,.253
34,34,2020-01-02,@,IND,W,124,116,135.4,126.6,91.6,.310,.310,.627,58.0,58.7,7.6,3.6,,.575,9.2,37.5,.276,,.598,8.8,78.0,.220
35,35,2020-01-04,@,WAS,L,114,128,114.6,128.7,99.5,.391,.333,.559,40.2,45.0,6.0,2.7,,.494,10.5,20.5,.322,,.582,9.7,63.2,.242
36,36,2020-01-06,@,ATL,W,123,115,127.6,119.3,96.4,.293,.293,.592,54.7,57.4,4.2,15.8,,.560,3.7,18.9,.217,,.571,9.9,89.5,.351
37,37,2020-01-08,@,DAL,W,107,106,114.3,113.2,93.6,.235,.282,.570,50.0,65.9,7.5,11.9,,.535,11.3,22.0,.188,,.584,12.9,82.9,.208
38,38,2020-01-11,,CLE,L,103,111,108.3,116.7,95.1,.189,.411,.500,43.3,56.1,9.5,7.7,,.474,4.6,20.4,.137,,.562,12.9,72.1,.124
39,39,2020-01-12,,LAC,W,114,104,118.2,107.8,96.4,.481,.325,.611,51.2,64.9,7.3,7.8,,.552,12.2,22.0,.377,,.500,12.8,77.8,.238
40,40,2020-01-15,,CHO,W,100,86,107.0,92.0,93.4,.316,.354,.556,48.8,73.7,8.6,15.2,,.538,10.9,8.3,.190,,.481,13.8,80.4,.099
41,41,2020-01-16,@,GSW,W,134,131,118.3,115.6,102.6,.260,.350,.601,57.1,66.0,9.7,12.0,,.555,15.2,31.9,.230,,.547,14.2,80.4,.284
42,42,2020-01-19,,IND,L,107,115,112.5,121.0,95.1,.364,.261,.524,53.7,53.7,10.5,7.0,,.483,8.1,30.8,.250,,.576,12.9,74.4,.186
43,43,2020-01-20,@,MIN,W,107,100,114.9,107.3,93.2,.133,.344,.562,55.8,60.5,9.7,2.0,,.539,12.0,29.5,.111,,.489,8.5,78.4,.121
44,44,2020-01-22,@,HOU,L,105,121,107.4,123.7,97.8,.163,.304,.532,43.0,59.5,12.3,10.0,,.511,13.2,27.1,.120,,.545,14.4,60.0,.270
45,45,2020-01-24,@,NOP,W,113,106,116.8,109.6,96.7,.189,.387,.492,55.4,65.0,14.5,10.9,,.439,8.7,42.1,.189,,.537,15.2,72.7,.220
46,46,2020-01-26,,HOU,W,117,110,117.8,110.8,99.3,.215,.301,.575,48.8,63.6,10.1,5.5,,.532,12.1,27.5,.194,,.517,13.8,67.4,.216
47,47,2020-01-28,@,MEM,L,96,104,99.0,107.3,97.0,.209,.523,.511,51.8,71.9,9.3,6.3,,.471,16.8,27.1,.174,,.598,15.4,83.8,.073
48,48,2020-01-30,,UTA,W,106,100,113.1,106.7,93.7,.247,.318,.562,55.1,62.5,7.5,12.2,,.524,8.7,21.1,.200,,.571,15.8,87.5,.141
49,49,2020-01-31,@,MIL,W,127,115,116.7,105.6,108.9,.090,.460,.611,52.1,60.4,7.3,18.2,,.590,10.3,15.2,.090,,.516,10.9,86.0,.179
50,50,2020-02-02,@,DET,L,123,128,122.7,127.7,90.8,.229,.333,.582,52.2,62.5,7.0,11.1,,.552,7.8,30.4,.177,,.585,9.5,75.0,.191
51,51,2020-02-04,,POR,W,127,99,129.6,101.0,98.0,.278,.378,.629,58.1,65.2,5.1,11.7,,.606,11.4,30.8,.200,,.445,8.2,80.9,.198
52,52,2020-02-05,@,UTA,W,98,95,102.1,98.9,96.0,.200,.333,.500,53.1,59.0,8.3,10.6,,.472,10.1,25.0,.144,,.500,13.2,84.8,.105
53,53,2020-02-08,@,PHO,W,117,108,122.0,112.6,95.9,.256,.341,.641,49.4,51.1,7.3,12.7,,.616,13.3,21.1,.195,,.489,11.8,74.4,.264
54,54,2020-02-10,,SAS,W,127,120,138.5,130.9,91.7,.288,.438,.705,50.7,75.6,7.6,9.4,,.675,10.0,25.0,.238,,.576,9.4,75.7,.259
55,55,2020-02-12,,LAL,L,116,120,110.9,114.7,94.7,.250,.284,.594,46.2,72.7,8.6,3.3,,.563,9.3,7.1,.193,,.570,10.3,79.6,.151
56,56,2020-02-21,@,OKC,L,101,113,106.1,118.7,95.2,.299,.351,.580,47.0,51.4,7.4,4.9,,.519,17.9,21.1,.273,,.511,10.8,68.9,.276
57,57,2020-02-23,,MIN,W,128,116,122.4,110.9,104.6,.189,.333,.657,50.0,54.7,8.6,14.0,,.650,11.8,14.7,.122,,.522,12.7,78.6,.244
58,58,2020-02-25,,DET,W,115,98,125.1,106.6,92.0,.289,.250,.671,55.4,75.0,13.0,7.5,,.638,17.4,30.0,.237,,.500,15.1,72.7,.210
59,59,2020-02-28,@,LAC,L,103,132,107.9,138.3,95.4,.176,.275,.525,45.9,46.3,7.3,12.0,,.500,12.5,27.1,.132,,.640,9.3,70.3,.202
60,60,2020-03-01,,TOR,W,133,118,129.7,115.1,102.6,.361,.434,.691,53.2,80.9,5.9,2.0,,.675,14.3,20.0,.253,,.517,9.8,81.0,.292
61,61,2020-03-03,,GSW,L,100,116,105.9,122.9,94.4,.299,.230,.508,60.2,56.4,6.4,12.2,,.466,13.2,38.8,.218,,.622,10.7,87.2,.171
62,62,2020-03-05,@,CHO,W,114,112,127.5,125.2,89.4,.241,.313,.621,52.8,65.9,7.8,11.4,,.578,11.6,34.2,.217,,.578,12.7,73.5,.299
63,63,2020-03-07,@,CLE,L,102,104,108.6,110.8,93.9,.094,.376,.576,45.8,65.1,16.0,0.0,,.582,16.1,22.5,.035,,.632,20.5,75.0,.105
64,64,2020-03-09,,MIL,W,109,95,106.5,92.8,102.3,.128,.436,.549,50.0,68.3,10.8,20.0,,.521,10.8,14.0,.117,,.461,14.8,79.2,.133
65,65,2020-03-11,@,DAL,L,97,113,99.4,115.8,97.6,.096,.470,.561,43.5,59.0,6.1,7.0,,.554,14.8,7.1,.060,,.522,8.9,74.0,.185
